x,y,z
-7.732051086425781250e+01,5.327077102661132812e+01,1.642948031425476074e+00
-7.732051086425781250e+01,5.337111663818359375e+01,1.680555939674377441e+00
-7.732051086425781250e+01,5.347146606445312500e+01,1.718049049377441406e+00
-7.732051086425781250e+01,5.357180786132812500e+01,1.755403518676757812e+00
-7.732051086425781250e+01,5.367215728759765625e+01,1.792595505714416504e+00
-7.732051086425781250e+01,5.377250289916992188e+01,1.829601407051086426e+00
-7.732051086425781250e+01,5.387284851074218750e+01,1.866397619247436523e+00
-7.732051086425781250e+01,5.397319412231445312e+01,1.902960896492004395e+00
-7.732051086425781250e+01,5.407353973388671875e+01,1.939267873764038086e+00
-7.732051086425781250e+01,5.417388534545898438e+01,1.975295424461364746e+00
-7.732051086425781250e+01,5.427423095703125000e+01,2.011020660400390625e+00
-7.732051086425781250e+01,5.437458038330078125e+01,2.046421051025390625e+00
-7.732051086425781250e+01,5.447492218017578125e+01,2.081473827362060547e+00
-7.732051086425781250e+01,5.457527160644531250e+01,2.116156816482543945e+00
-7.732051086425781250e+01,5.467561721801757812e+01,2.150447845458984375e+00
-7.732051086425781250e+01,5.477596282958984375e+01,2.184325218200683594e+00
-7.732051086425781250e+01,5.487630844116210938e+01,2.217767238616943359e+00
-7.732051086425781250e+01,5.497665405273437500e+01,2.250752925872802734e+00
-7.732051086425781250e+01,5.507699966430664062e+01,2.283261299133300781e+00
-7.732051086425781250e+01,5.517734527587890625e+01,2.315271139144897461e+00
-7.732051086425781250e+01,5.527769088745117188e+01,2.346762657165527344e+00
-7.732051086425781250e+01,5.537803649902343750e+01,2.377715587615966797e+00
-7.732051086425781250e+01,5.547838592529296875e+01,2.408110380172729492e+00
-7.732051086425781250e+01,5.557873153686523438e+01,2.437927722930908203e+00
-7.732051086425781250e+01,5.567907714843750000e+01,2.467148303985595703e+00
-7.732051086425781250e+01,5.577942276000976562e+01,2.495753765106201172e+00
-7.732051086425781250e+01,5.587976837158203125e+01,2.523725986480712891e+00
-7.732051086425781250e+01,5.598011398315429688e+01,2.551047325134277344e+00
-7.732051086425781250e+01,5.608045959472656250e+01,2.577699899673461914e+00
-7.732051086425781250e+01,5.618080520629882812e+01,2.603667259216308594e+00
-7.732051086425781250e+01,5.628115081787109375e+01,2.628932476043701172e+00
-7.732051086425781250e+01,5.638150024414062500e+01,2.653480052947998047e+00
-7.732051086425781250e+01,5.648184585571289062e+01,2.677293777465820312e+00
-7.732051086425781250e+01,5.658219146728515625e+01,2.700358629226684570e+00
-7.732051086425781250e+01,5.668253707885742188e+01,2.722660303115844727e+00
-7.732051086425781250e+01,5.678288269042968750e+01,2.744184255599975586e+00
-7.732051086425781250e+01,5.688322830200195312e+01,2.764916896820068359e+00
-7.732051086425781250e+01,5.698357391357421875e+01,2.784844875335693359e+00
-7.732051086425781250e+01,5.708391952514648438e+01,2.803956031799316406e+00
-7.732051086425781250e+01,5.718426513671875000e+01,2.822237491607666016e+00
-7.732051086425781250e+01,5.728461456298828125e+01,2.839678287506103516e+00
-7.732051086425781250e+01,5.738495635986328125e+01,2.856266975402832031e+00
-7.732051086425781250e+01,5.748530578613281250e+01,2.871993064880371094e+00
-7.732051086425781250e+01,5.758565139770507812e+01,2.886846780776977539e+00
-7.732051086425781250e+01,5.768599700927734375e+01,2.900818109512329102e+00
-7.732051086425781250e+01,5.778634262084960938e+01,2.913898706436157227e+00
-7.732051086425781250e+01,5.788668823242187500e+01,2.926079988479614258e+00
-7.732051086425781250e+01,5.798703384399414062e+01,2.937354326248168945e+00
-7.732051086425781250e+01,5.808737945556640625e+01,2.947714567184448242e+00
-7.732051086425781250e+01,5.818772888183593750e+01,2.957154035568237305e+00
-7.732051086425781250e+01,5.828807067871093750e+01,2.965666770935058594e+00
-7.732051086425781250e+01,5.838842010498046875e+01,2.973247289657592773e+00
-7.732051086425781250e+01,5.848876571655273438e+01,2.979890823364257812e+00
-7.732051086425781250e+01,5.858911132812500000e+01,2.985593080520629883e+00
-7.732051086425781250e+01,5.868945693969726562e+01,2.990350484848022461e+00
-7.732051086425781250e+01,5.878980255126953125e+01,2.994160175323486328e+00
-7.732051086425781250e+01,5.889014816284179688e+01,2.997019529342651367e+00
-7.732051086425781250e+01,5.899049377441406250e+01,2.998926877975463867e+00
